Brand,Brand Rating,Model,Type,Price ($),CPU Brand,CPU Model,CPU Rating,RAM (GB),Ram Type,Hard Drive (GB),SSD (GB),GPU Brand,Graphics Model,Graphics Rating,Ports Description,Number of Ports,Connectivity Rating,Hours,Software,Display Size (inches),Resolution Width (pixels),Resolution Height (pixels),Touchscreen,Depth (inches),Width (inches),Height (inches),Weight (lbs),Warranty (years),Hyperlink
HP,8,Chromebook,Student,400.79,Intel,Celeron N4000,2,4,LPDDR4,64,0,Intel,UHD Graphics,3,2 SuperSpeed USB Type-C 5Gbps signaling rate (USB Power Delivery; DisplayPort1.2); 1 SuperSpeed USB Type-A 5Gbps signaling rate; 1 Headphone/microphone combo,4,6,12,Chrome OS,14,1366,768,false,8.6,12.82,0.7,3.22,1,https://www.bestbuy.ca/en-ca/product/hp-14-chromebook-mineral-silver-intel-celeron-n4000-64gb-emmc-4gb-ram-chrome/14481355
Lenovo,7,IdeaPad,Student,350.79,AMD,Athlon Silver 3050e,3,4,LPDDR3,0,64,AMD,Radeon Graphics,2,"2 x USB A 3.0; 1 x HDMI Out,3,5,8,Windows 10 Home,14,1366,768,false,12.88,9.25,0.78,3.09,1,https://www.bestbuy.ca/en-ca/product/lenovo-ideapad-14-laptop-platinum-grey-amd-athlon-silver-3050e-64gb-emmc-4gb-ram-windows-10-s/14934419
ASUS,10,Star Black,Student,300.79,Intel,Celeron N4020,2,4,DDR4,0,64,Intel,UHD Graphics,3,1x USB 3.2 Gen 1 Type-A; 1x USB 3.2 Gen 1 Type-C; 1x USB 2.0 Type-A; 1x HDMI; 1x 3.5mm Combo Audio Jack; 1x DC-in,6,6,10,Windows 10 Home,15.6,1366,768,false,9.3,14.2,0.69,3.59,1,https://www.bestbuy.ca/en-ca/product/asus-l510-15-6-laptop-star-black-intel-celeron-n4020-64gb-emmc-4gb-ram-windows-10-s/15312409
Acer,7,Spin 1,Student,350.79,Intel,Celeron N4100,3,4,DDR4,0,64,Intel,UHD Graphics,3,USB 3.0 port; USB 2.0 port; HDMI 2.0 port with HDCP support,3,5,10,Windows 10 Home,11.6,1300,700,true,8.11,11.65,0.79,2.62,1,https://www.bestbuy.ca/en-ca/product/acer-spin-1-11-6-touchscreen-2-in-1-laptop-black-intel-celeron-n4100-64gb-emmc-4gb-ram-windows-10-s/15372495
Lenovo,8,IdeaPad Duet,Artist,400.79,MediaTek,Helio P60T,3,4,LPDDR4x,0,128,ARM,Integrated ARM G72MP3,2,USB C,1,1,10,Chrome OS,10.1,1920,1200,true,6.29,9.44,0.29,0.99,1,https://www.bestbuy.ca/en-ca/product/lenovo-ideapad-duet-10-1-touchscreen-2-in-1-chromebook-mediatek-helio-p60t-128gb-ssd-4gb-ram/14541985
ASUS,10,C234MA-SSO1T-CB,Student,399.99,Intel,Celeron N4020,2,4,LPDDR4,32,0,Intel,UHD Graphics,3,1x 3.5mm Combo Audio Jack; 1x USB 3.2 Gen 1 Type-A; 2x USB 3.2 Gen 1 Type-C support display,4,6,10,Chrome OS,11.6,1366,768,true,7.8,11.5,0.8,2.6,1,https://www.staples.ca/products/3009118-en-asus-c234ma-ss01t-cb-116-touch-screen-laptop-intel-celeron-n4020-32-gb-emmc-4-gb-lpddr4-chrome-os
ASUS,10,Flip C234,Student,410.79,Intel,Celeron N4020,2,4,LPDDR4,0,64,Intel,UHD Graphics,3,1 x USB 3.2 Gen 1 Type-A; 2 x USB 3.2 Gen 2 Type-C support Display/Power Delivery; 1 x 3.5mm Combo Audio Jack,4,7,12,Chrome OS,11.6,1366,768,true,7.8,11.5,0.77,2.6,1,https://www.bestbuy.ca/en-ca/product/asus-flip-c234-11-6-touchscreen-2-in-1-chromebook-intel-celeron-n4020-64gb-emmc-4gb-ram-chrome-os/14690262
HP,8,Touch Screen 2-in-1,Student,450.79,Intel,Celeron N4020,2,4,LPDDR4,64,0,Intel,UHD Graphics,3,2 SuperSpeed USB Type-C 5Gbps signaling rate (USB Power Delivery; DisplayPort1.2); 1 SuperSpeed USB Type-A 5Gbps signaling rate; 1 Headphone/microphone combo,4,7,12,Chrome OS,14,1366,768,true,8.65,12.81,0.72,3.28,1,https://www.bestbuy.ca/en-ca/product/hp-14-touchscreen-2-in-1-chromebook-mineral-silver-intel-celeron-n4020-64gb-emmc-4gb-ram-chrome/15086528
Lenovo,7,Chromebook,Student,350.79,MediaTek,MT8173C,1,4,LPDDR3,64,0,MediaTek,Integrated PowerVR GX6250,2,USB-C (Power Delivery & DisplayPort); USB 3.1** (Gen 1); HDMI; SD Card Reader; Audio Jack,5,5,10,Chrome OS,14,1366,768,false,9.15,12.82,0.85,3.31,1,https://www.bestbuy.ca/en-ca/product/lenovo-s330-14-chromebook-business-black-mediatek-mt8173c-32gb-emmc-4gb-ram/13193825
ASUS,10,VivoBook,Student,496.18,Intel,Core i3-1005G1,5,4,DDR4,0,128,Intel,UHD Graphics,3,"Type-A (Gen1); USB 3.2 Type-C (Gen1); USB 2.0; SD card reader; and HDMI,4,6,5,Windows 10 Home,15.6,1920,1080,false,14.2,9.2,0.7,3.7,1,https://www.amazon.ca/VivoBook-i3-1005G1-Processor-Fingerprint-F515JA-AH31/dp/B08H4YTTLP/ref=sr_1_1?dchild=1&fst=as%3Aoff&m=A3DWYIK6Y9EEQB&qid=1621541741&refinements=p_6%3AA3DWYIK6Y9EEQB%2Cp_36%3A40000-49900&rnid=12035759011&s=electronics&sr=1-1&th=1
ASUS,10,Zenbook,Student,990.75,Intel,Core i5-1035G1,6,8,DDR4,0,256,Intel,UHD Graphics,3,1 x HDMI 2.0b; Thunderbolt 3 via USB Type C; Wi-Fi 6 (802.11ax); Bluetooth 5.0; USB 3.2 Type-A; and Micro SD card reader,5,8,14,Windows 10 Home,13.3,1920,1080,false,8,12,0.6,3,1,https://www.amazon.ca/gp/product/B0892WH42D?pf_rd_r=2YYRE7RJJ4ZNFRX1MQSS&pf_rd_p=05326fd5-c43e-4948-99b1-a65b129fdd73&pd_rd_r=fc82908f-e296-47a3-9e4d-686b7e7ed068&pd_rd_w=QRYGM&pd_rd_wg=xW6Z4&ref_=pd_gw_unk
ASUS,10,TUF Gaming Laptop,Gamer,949.99,AMD,Ryzen 7-3750H,6,8,DDR4,0,512,NVIDIA,GeForce GTX 1650 4GB VRAM,6,1 x USB 2.0 Type-A port; two USB 3.2 Gen 1 Type- A ports; one HDMI port; one 3.5mm combo audio jack; and one RJ45 LAN jack,6,9,9,Windows 10 Home,15.6,1920,1080,false,10.3,14.2,1,4.89,1,https://www.bestbuy.ca/en-ca/product/asus-tuf-15-6-gaming-laptop-stealth-black-amd-ryzen-7-3750h-512gb-ssd-8gb-ram-nvidia-geforce-gtx-1650/15311704 
Lenovo,8,IdeaPad,Artist,949.99,AMD,Ryzen 5-4500U,8,16,DDR4,0,512,AMD,Integrated Radeon Graphics,3,Two USB-A 3.1 ports; one USB-C 3.1 port; and an HDMI port,4,7,9,Windows 10 Home,14,1920,1080,true,12.66,8.56,0.82,3.64,1,https://www.bestbuy.ca/en-ca/product/lenovo-ideapad-flex-5-14-touchscreen-2-in-1-laptop-grey-amd-ryzen-5-4500u-512gb-ssd-16gb-ram-win10/14875506
HP,8,Laptop,Student,649.97,AMD,Ryzen 5-3500U,6,8,DDR4,0,512,AMD,Radeon Vega 8 Graphics,3,1 x USB-C; 2 x USB-A; 1 x HDMI 1.4b,4,7,8,Windows 10 Home,15.6,1920,1080,false,9.53,14.11,0.78,3.75,1,https://www.bestbuy.ca/en-ca/product/hp-15-6-laptop-natural-silver-amd-ryzen-5-3500u-512gb-ssd-8gb-ram-windows-10/14967578 
Acer,7,Aspire,Student,629.99,Intel,Pentium Silver N6000,4,8,DDR4,0,256,Intel,UHD Graphics,3,2 x USB 3.2; 1 x USB 2.0; 1 x HDMI port,4,7,13,Windows 10 Home,15.6,1920,1080,false,9.39,14.31,0.78,3.75,1,https://www.bestbuy.ca/en-ca/product/acer-aspire-3-15-6-laptop-silver-intel-pentium-silver-n6000-256gb-ssd-8gb-ram-windows-10-s/15299548
Acer,7,Spin Chromebook,Student,599.99,AMD,Ryzen 3-3250C,4,4,DDR4,0,64,AMD,Integrated Radeon Graphics,3,2 x USB Type-C; 2 x USB 3.2 Gen 1; 3;5mm audio jack,5,8,10,Chrome OS,14,1920,1080,true,8.88,12.72,0.68,3.64,1,https://www.bestbuy.ca/en-ca/product/acer-spin-14-touchscreen-2-in-1-chromebook-silver-amd-ryzen-3-3250c-64gb-emmc-4gb-ram-chrome-os/14742497
ASUS,10,VivoBook,Student,799.99,Intel,Core i5-1035G1,6,16,DDR4,0,512,Intel,UHD Graphics,3,2 x USB 2.0 Type-A; 1 x USB 3.2 Gen 1 Type-A; 1 x USB 3.2 Gen 1 Type-C; 1 x HDMI; 1 x 3.5mm audio jack,6,9,7,Windows 10 Home,15.6,1920,1080,false,9.1,14.1,0.77,3.7,1,https://www.bestbuy.ca/en-ca/product/asus-vivobook-15-6-laptop-slate-grey-intel-core-i5-1035g1-512gb-ssd-32gb-optane-16gb-ram-win-10/14934342
Samsung,6,Galaxy Book,Student,989.99,Intel,Core i5-1135G7,7,8,DDR4,0,256,Intel,UHD Graphics,3,2 x USB-C; 2 x USB-A; 1 x HDMI; 1 x 3.5mm audio jack,6,9,17,Windows 10 Home,15.6,1920,1080,false,9.1,14.1,0.6,3.42,1,https://www.amazon.ca/Samsung-Galaxy-Book-Touchscreen-Laptop/dp/B093KCRG6M/ref=sr_1_1_sspa?dchild=1&keywords=laptop&qid=1621561249&refinements=p_85%3A5690392011&rnid=5690384011&rps=1&sr=8-1-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFCNERKRU5ZMDkzOUUmZW5jcnlwdGVkSWQ9QTA5MjQyMTJVSFYwSUw5QVpUMEomZW5jcnlwdGVkQWRJZD1BMDk2Mjk2MTEySTFRWE9JTTZYSzgmd2lkZ2V0TmFtZT1zcF9hdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl&th=1
